date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:20	125/125	---M--	200	added ('OK')	text/plain	date:Mon,%2019%20Jun%202023%2002:24:24%20GMT	https://www.antonsnyc.com/robots.txt		(from )
22:24:20	31826/31826	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202023%2002:24:24%20GMT	https://www.antonsnyc.com/	C:/Users/Desktop/Desktop/ANTONS/www.antonsnyc.com/index.html	(from )
22:24:21	2226/2226	---M--	200	added ('OK')	image/png	etag:%22821fa48b01a1634e309d6f3cf5b95890%22	https://media-cdn.getbento.com/accounts/36ae7752e94ab282ecee1043de81b5d2/media/images/44130Antons_Favicon.png	C:/Users/Desktop/Desktop/ANTONS/media-cdn.getbento.com/accounts/36ae7752e94ab282ecee1043de81b5d2/media/images/44130Antons_Favicon.png	(from https://www.antonsnyc.com/)
22:24:21	25788/25788	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Jun%202023%2008:48:09%20GMT	https://images.getbento.com/accounts/36ae7752e94ab282ecee1043de81b5d2/media/images/78939Antons_Logo.png?w=1200&fit=fill&auto=compress,format&h=600&bg=ffffff&pad=100	C:/Users/Desktop/Desktop/ANTONS/images.getbento.com/accounts/36ae7752e94ab282ecee1043de81b5d2/media/images/78939Antons_Logo7839.jpg	(from https://www.antonsnyc.com/)
22:24:22	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/Desktop/Desktop/ANTONS/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.antonsnyc.com/)
22:24:22	40833/40833	---M-Z	200	added ('OK')	application/javascript	etag:%22ebc4c16b6ff46676f740296adc515132%22	https://theme-assets.getbento.com/osaka/bc19e15.osaka/assets/js/head.min.js	C:/Users/Desktop/Desktop/ANTONS/theme-assets.getbento.com/osaka/bc19e15.osaka/assets/js/head.min.js	(from https://www.antonsnyc.com/)
22:24:23	52082/52082	---MC-	200	added ('OK')	text/javascript	date:Mon,%2017%20Apr%202023%2022:36:01%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Desktop/Desktop/ANTONS/www.google-analytics.com/analytics.js	(from https://www.antonsnyc.com/)
22:24:23	14802/14802	---M--	200	added ('OK')	image/png	date:Sat,%2013%20May%202023%2016:11:33%20GMT	https://images.getbento.com/accounts/36ae7752e94ab282ecee1043de81b5d2/media/images/78939Antons_Logo.png	C:/Users/Desktop/Desktop/ANTONS/images.getbento.com/accounts/36ae7752e94ab282ecee1043de81b5d2/media/images/78939Antons_Logo.png	(from https://www.antonsnyc.com/)
22:24:23	28256/28256	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202023%2002:24:27%20GMT	https://www.antonsnyc.com/reserve/	C:/Users/Desktop/Desktop/ANTONS/www.antonsnyc.com/reserve/index.html	(from https://www.antonsnyc.com/)
22:24:23	90919/90919	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202023%2002:24:27%20GMT	https://www.antonsnyc.com/menus/	C:/Users/Desktop/Desktop/ANTONS/www.antonsnyc.com/menus/index.html	(from https://www.antonsnyc.com/)
